date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_W
2022-09-04 12:18:48+00:00,18.696,,,,,130.82879680102266,0.0
2022-09-04 12:18:50+00:00,18.9338125,,,,,127.64791242646444,0.0
2022-09-04 12:18:52+00:00,19.09269672,,,,,122.57415131427491,0.0
2022-09-04 12:18:54+00:00,19.08308744,,,,,137.79544818186324,0.0
2022-09-04 12:18:56+00:00,19.23007186,,,,,164.13275412549962,0.0
2022-09-04 12:18:58+00:00,20.25327595,,,,,181.8378424802617,0.0
2022-09-04 12:19:00+00:00,20.60932509,,,,,170.98633386213461,0.0
2022-09-04 12:19:02+00:00,20.61074566,,,,,153.99192631951468,0.0
2022-09-04 12:19:04+00:00,21.05976832,,,,,153.91705738149173,0.0
2022-09-04 12:19:06+00:00,21.20456062,,,,,141.80247975425812,0.0
2022-09-04 12:19:08+00:00,21.16555647,,,,,121.06803349641699,0.0
2022-09-04 12:19:10+00:00,21.02874822,,,,,108.25770618991487,0.0
2022-09-04 12:19:12+00:00,20.83613208,,,,,103.6123383211703,0.0
2022-09-04 12:19:14+00:00,20.60926507,,,,,110.72427226933524,0.0
2022-09-04 12:19:16+00:00,20.53024914,,,,,127.1713187665198,0.0
2022-09-04 12:19:18+00:00,20.71560771,,,,,144.99335926132167,0.0
2022-09-04 12:19:20+00:00,20.92248578,,,,,155.07862665932382,0.0
2022-09-04 12:19:22+00:00,21.14509404,,,,,159.69767206276202,0.0
2022-09-04 12:19:24+00:00,21.37941432,,,,,164.0698864088702,0.0
2022-09-04 12:19:26+00:00,21.6225543,,,,,168.2888679856394,0.0
2022-09-04 12:19:28+00:00,21.87238141,,,,,172.41592500020616,0.0
2022-09-04 12:19:30+00:00,22.12729926,,,,,176.49359697792877,0.0
2022-09-04 12:19:32+00:00,22.38610177,,,,,180.552715128007,0.0
2022-09-04 12:19:34+00:00,22.64787273,,,,,184.61633106786863,0.0
2022-09-04 12:19:36+00:00,22.91191386,,,,,188.70206102265004,0.0
