date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2022-09-04 12:18:48+00:00,18.696,,,,
2022-09-04 12:18:50+00:00,18.9338125,,,,
2022-09-04 12:18:52+00:00,19.09269672,,,,
2022-09-04 12:18:54+00:00,19.08308744,,,,
2022-09-04 12:18:56+00:00,19.23007186,,,,
2022-09-04 12:18:58+00:00,20.25327595,,,,
2022-09-04 12:19:00+00:00,20.60932509,,,,
2022-09-04 12:19:02+00:00,20.61074566,,,,
2022-09-04 12:19:04+00:00,21.05976832,,,,
2022-09-04 12:19:06+00:00,21.20456062,,,,
2022-09-04 12:19:08+00:00,21.16555647,,,,
2022-09-04 12:19:10+00:00,21.02874822,,,,
2022-09-04 12:19:12+00:00,20.83613208,,,,
2022-09-04 12:19:14+00:00,20.60926507,,,,
2022-09-04 12:19:16+00:00,20.53024914,,,,
2022-09-04 12:19:18+00:00,20.71560771,,,,
2022-09-04 12:19:20+00:00,20.92248578,,,,
2022-09-04 12:19:22+00:00,21.14509404,,,,
2022-09-04 12:19:24+00:00,21.37941432,,,,
2022-09-04 12:19:26+00:00,21.6225543,,,,
2022-09-04 12:19:28+00:00,21.87238141,,,,
2022-09-04 12:19:30+00:00,22.12729926,,,,
2022-09-04 12:19:32+00:00,22.38610177,,,,
2022-09-04 12:19:34+00:00,22.64787273,,,,
2022-09-04 12:19:36+00:00,22.91191386,,,,
2022-09-04 12:19:38+00:00,23.17769194,,,,
2022-09-04 12:19:40+00:00,23.44479938,,,,
2022-09-04 12:19:42+00:00,23.71292438,,,,
2022-09-04 12:19:44+00:00,23.98182836,,,,
2022-09-04 12:19:46+00:00,24.10386317,,,,
2022-09-04 12:19:48+00:00,23.08214343,,,,
2022-09-04 12:19:50+00:00,22.22583123,,,,
2022-09-04 12:19:52+00:00,21.74179211,,,,
2022-09-04 12:19:54+00:00,21.56085274,,,,
2022-09-04 12:19:56+00:00,21.53421547,,,,
2022-09-04 12:19:58+00:00,21.56202091,,,,
2022-09-04 12:20:00+00:00,22.28951101,,,,
2022-09-04 12:20:02+00:00,22.88129631,,,,
2022-09-04 12:20:04+00:00,22.7210753,,,,
2022-09-04 12:20:06+00:00,22.13938091,,,,
2022-09-04 12:20:08+00:00,21.33292663,,,,
2022-09-04 12:20:10+00:00,20.39791528,,,,
2022-09-04 12:20:12+00:00,19.38382175,,,,
2022-09-04 12:20:14+00:00,18.31777842,,,,
2022-09-04 12:20:16+00:00,17.2157821,,,,
2022-09-04 12:20:18+00:00,15.9773159,,,,
2022-09-04 12:20:20+00:00,15.33069078,,,,
2022-09-04 12:20:22+00:00,15.70174576,,,,
2022-09-04 12:20:24+00:00,16.14774896,,,,
2022-09-04 12:20:26+00:00,15.93104663,,,,
2022-09-04 12:20:28+00:00,14.69034844,,,,
2022-09-04 12:20:30+00:00,13.92357938,,,,
2022-09-04 12:20:32+00:00,13.27583426,,,,
2022-09-04 12:20:34+00:00,12.90346341,,,,
2022-09-04 12:20:36+00:00,12.92048,,,,
2022-09-04 12:20:38+00:00,14.2156662,,,,
2022-09-04 12:20:40+00:00,15.65170358,,,,
2022-09-04 12:20:42+00:00,15.60445628,,,,
2022-09-04 12:20:44+00:00,15.51061133,,,,
2022-09-04 12:20:46+00:00,16.07003588,,,,
2022-09-04 12:20:48+00:00,16.4869847,,,,
2022-09-04 12:20:50+00:00,16.83077657,,,,
2022-09-04 12:20:52+00:00,16.08171227,,,,
2022-09-04 12:20:54+00:00,15.24064105,,,,
2022-09-04 12:20:56+00:00,14.81659932,,,,
2022-09-04 12:20:58+00:00,14.82269805,,,,
2022-09-04 12:21:00+00:00,15.46822409,,,,
2022-09-04 12:21:02+00:00,16.03051975,,,,
2022-09-04 12:21:04+00:00,16.59834087,,,,
2022-09-04 12:21:06+00:00,17.60498215,,,,
2022-09-04 12:21:08+00:00,18.03931379,,,,
2022-09-04 12:21:10+00:00,18.29150645,,,,
2022-09-04 12:21:12+00:00,18.65680554,,,,
2022-09-04 12:21:14+00:00,19.38876423,,,,
2022-09-04 12:21:16+00:00,20.08494233,,,,
2022-09-04 12:21:18+00:00,20.52676565,,,,
2022-09-04 12:21:20+00:00,20.71336278,,,,
2022-09-04 12:21:22+00:00,20.39831561,,,,
2022-09-04 12:21:24+00:00,18.9619668,,,,
2022-09-04 12:21:26+00:00,17.45482812,,,,
2022-09-04 12:21:28+00:00,16.89835366,,,,
2022-09-04 12:21:30+00:00,18.75918609,,,,
2022-09-04 12:21:32+00:00,19.62427325,,,,
2022-09-04 12:21:34+00:00,18.92934718,,,,
2022-09-04 12:21:36+00:00,16.51033408,,,,
2022-09-04 12:21:38+00:00,12.43459689,,,,
2022-09-04 12:21:40+00:00,8.962105122,,,,
2022-09-04 12:21:42+00:00,7.68545882,,,,
2022-09-04 12:21:44+00:00,7.355594086,,,,
2022-09-04 12:21:46+00:00,7.4725888,,,,
2022-09-04 12:21:48+00:00,7.818656169,,,,
2022-09-04 12:21:50+00:00,7.833194348,,,,
2022-09-04 12:21:52+00:00,7.564756687,,,,
2022-09-04 12:21:54+00:00,6.221262706,,,,
2022-09-04 12:21:56+00:00,6.048739228,,,,
2022-09-04 12:21:58+00:00,6.985812069,,,,
2022-09-04 12:22:00+00:00,11.36835785,,,,
2022-09-04 12:22:02+00:00,16.2798442,,,,
2022-09-04 12:22:04+00:00,19.41444664,,,,
2022-09-04 12:22:06+00:00,20.70037821,,,,
2022-09-04 12:22:08+00:00,20.86944237,,,,
2022-09-04 12:22:10+00:00,21.16625702,,,,
2022-09-04 12:22:12+00:00,21.49256564,,,,
2022-09-04 12:22:14+00:00,21.81109335,,,,
2022-09-04 12:22:16+00:00,22.11016948,,,,
2022-09-04 12:22:18+00:00,22.38835552,,,,
2022-09-04 12:22:20+00:00,22.64788203,,,,
2022-09-04 12:22:22+00:00,22.89193767,,,,
2022-09-04 12:22:24+00:00,23.12362188,,,,
2022-09-04 12:22:26+00:00,23.4687581,,,,
2022-09-04 12:22:28+00:00,24.49769149,,,,
2022-09-04 12:22:30+00:00,25.40044858,,,,
2022-09-04 12:22:32+00:00,25.47716168,,,,
2022-09-04 12:22:34+00:00,25.20801001,,,,
2022-09-04 12:22:36+00:00,24.69310988,,,,
2022-09-04 12:22:38+00:00,23.44381879,,,,
2022-09-04 12:22:40+00:00,21.95205722,,,,
2022-09-04 12:22:42+00:00,21.35090174,,,,
2022-09-04 12:22:44+00:00,21.18899183,,,,
2022-09-04 12:22:46+00:00,21.25554612,,,,
2022-09-04 12:22:48+00:00,21.44909245,,,,
2022-09-04 12:22:50+00:00,21.71856666,,,,
2022-09-04 12:22:52+00:00,22.03670632,,,,
2022-09-04 12:22:54+00:00,22.38789799,,,,
2022-09-04 12:22:56+00:00,22.7625251,,,,
2022-09-04 12:22:58+00:00,23.15426387,,,,
2022-09-04 12:23:00+00:00,23.55873437,,,,
2022-09-04 12:23:02+00:00,23.97278844,,,,
2022-09-04 12:23:04+00:00,24.39410695,,,,
2022-09-04 12:23:06+00:00,24.82095488,,,,
2022-09-04 12:23:08+00:00,25.25202185,,,,
2022-09-04 12:23:10+00:00,24.96690847,,,,
2022-09-04 12:23:12+00:00,24.72587659,,,,
2022-09-04 12:23:14+00:00,24.47387487,,,,
2022-09-04 12:23:16+00:00,23.69882808,,,,
2022-09-04 12:23:18+00:00,24.05050989,,,,
2022-09-04 12:23:20+00:00,24.326863,,,,
2022-09-04 12:23:22+00:00,24.87552704,,,,
2022-09-04 12:23:24+00:00,24.99426597,,,,
2022-09-04 12:23:26+00:00,23.87545847,,,,
2022-09-04 12:23:28+00:00,22.00020907,,,,
2022-09-04 12:23:30+00:00,22.26731573,,,,
2022-09-04 12:23:32+00:00,22.69709738,,,,
2022-09-04 12:23:34+00:00,23.77715796,,,,
2022-09-04 12:23:36+00:00,24.16949655,,,,
2022-09-04 12:23:38+00:00,23.20358704,,,,
2022-09-04 12:23:40+00:00,21.89597369,,,,
2022-09-04 12:23:42+00:00,20.72634653,,,,
2022-09-04 12:23:44+00:00,19.60648904,,,,
2022-09-04 12:23:46+00:00,18.60628809,,,,
2022-09-04 12:23:48+00:00,19.34481639,,,,
2022-09-04 12:23:50+00:00,19.67530249,,,,
2022-09-04 12:23:52+00:00,19.49297807,,,,
2022-09-04 12:23:54+00:00,19.05888773,,,,
2022-09-04 12:23:56+00:00,18.49464115,,,,
2022-09-04 12:23:58+00:00,17.85856684,,,,
2022-09-04 12:24:00+00:00,17.17986526,,,,
2022-09-04 12:24:02+00:00,16.47402311,,,,
2022-09-04 12:24:04+00:00,15.74984408,,,,
2022-09-04 12:24:06+00:00,15.01271151,,,,
2022-09-04 12:24:08+00:00,14.26614387,,,,
2022-09-04 12:24:10+00:00,13.51256695,,,,
2022-09-04 12:24:12+00:00,12.75371886,,,,
2022-09-04 12:24:14+00:00,11.99087738,,,,
2022-09-04 12:24:16+00:00,11.2249973,,,,
2022-09-04 12:24:18+00:00,10.45679916,,,,
2022-09-04 12:24:20+00:00,10.29949932,,,,
2022-09-04 12:24:22+00:00,13.2506222,,,,
2022-09-04 12:24:24+00:00,15.18666981,,,,
2022-09-04 12:24:26+00:00,16.85656407,,,,
2022-09-04 12:24:28+00:00,18.90684353,,,,
2022-09-04 12:24:30+00:00,20.85329407,,,,
2022-09-04 12:24:32+00:00,21.34757402,,,,
2022-09-04 12:24:34+00:00,20.14889488,,,,
2022-09-04 12:24:36+00:00,17.71738407,,,,
2022-09-04 12:24:38+00:00,15.57589809,,,,
2022-09-04 12:24:40+00:00,11.10084669,,,,
2022-09-04 12:24:42+00:00,7.495371729,,,,
2022-09-04 12:24:44+00:00,5.512694694,,,,
2022-09-04 12:24:46+00:00,5.731557887,,,,
2022-09-04 12:24:48+00:00,6.814839735,,,,
2022-09-04 12:24:50+00:00,5.735784634,,,,
2022-09-04 12:24:52+00:00,4.625717538,,,,
2022-09-04 12:24:54+00:00,3.706512736,,,,
2022-09-04 12:24:56+00:00,3.331317256,,,,
2022-09-04 12:24:58+00:00,3.506617415,,,,
2022-09-04 12:25:00+00:00,3.975580132,,,,
2022-09-04 12:25:02+00:00,4.612573505,,,,
2022-09-04 12:25:04+00:00,5.352968797,,,,
2022-09-04 12:25:06+00:00,6.161310494,,,,
2022-09-04 12:25:08+00:00,7.016686684,,,,
2022-09-04 12:25:10+00:00,7.933857226,,,,
2022-09-04 12:25:12+00:00,9.218784542,,,,
2022-09-04 12:25:14+00:00,9.819560433,,,,
2022-09-04 12:25:16+00:00,10.25484002,,,,
2022-09-04 12:25:18+00:00,11.0107737,,,,
2022-09-04 12:25:20+00:00,11.82656705,,,,
2022-09-04 12:25:22+00:00,12.39177802,,,,
2022-09-04 12:25:24+00:00,12.75854379,,,,
2022-09-04 12:25:26+00:00,13.01997031,,,,
2022-09-04 12:25:28+00:00,13.22145548,,,,
2022-09-04 12:25:30+00:00,13.38625208,,,,
2022-09-04 12:25:32+00:00,13.52704967,,,,
2022-09-04 12:25:34+00:00,13.65129108,,,,
2022-09-04 12:25:36+00:00,13.76366472,,,,
2022-09-04 12:25:38+00:00,13.86731121,,,,
2022-09-04 12:25:40+00:00,13.96443559,,,,
2022-09-04 12:25:42+00:00,14.05663742,,,,
2022-09-04 12:25:44+00:00,14.41127809,,,,
2022-09-04 12:25:46+00:00,14.22825676,,,,
2022-09-04 12:25:48+00:00,14.93359107,,,,
2022-09-04 12:25:50+00:00,15.16048724,,,,
2022-09-04 12:25:52+00:00,15.37719402,,,,
2022-09-04 12:25:54+00:00,15.55617489,,,,
2022-09-04 12:25:56+00:00,15.08994074,,,,
2022-09-04 12:25:58+00:00,14.72194517,,,,
2022-09-04 12:26:00+00:00,15.0552316,,,,
2022-09-04 12:26:02+00:00,15.40549161,,,,
2022-09-04 12:26:04+00:00,16.25573309,,,,
2022-09-04 12:26:06+00:00,16.67134654,,,,
2022-09-04 12:26:08+00:00,15.8454251,,,,
2022-09-04 12:26:10+00:00,14.64768988,,,,
2022-09-04 12:26:12+00:00,13.88183985,,,,
2022-09-04 12:26:14+00:00,13.61963436,,,,
2022-09-04 12:26:16+00:00,13.60994445,,,,
2022-09-04 12:26:18+00:00,13.73443687,,,,
2022-09-04 12:26:20+00:00,13.9353738,,,,
2022-09-04 12:26:22+00:00,14.18315463,,,,
2022-09-04 12:26:24+00:00,14.46160746,,,,
2022-09-04 12:26:26+00:00,14.7612356,,,,
2022-09-04 12:26:28+00:00,15.07605035,,,,
2022-09-04 12:26:30+00:00,15.40203644,,,,
2022-09-04 12:26:32+00:00,15.73637298,,,,
2022-09-04 12:26:34+00:00,16.07701279,,,,
2022-09-04 12:26:36+00:00,16.4224385,,,,
2022-09-04 12:26:38+00:00,17.7003592,,,,
2022-09-04 12:26:40+00:00,20.41391044,,,,
2022-09-04 12:26:42+00:00,20.84813746,,,,
2022-09-04 12:26:44+00:00,21.0371482,,,,
2022-09-04 12:26:46+00:00,20.75254401,,,,
2022-09-04 12:26:48+00:00,19.99718078,,,,
2022-09-04 12:26:50+00:00,19.41078538,,,,
2022-09-04 12:26:52+00:00,19.327776,,,,
2022-09-04 12:26:54+00:00,19.33037142,,,,
