date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,t_s,v_ms,a_smooth,decel_g
2022-09-04 12:18:48+00:00,18.696,,,,,95.23149600635278,0.0,0.0,5.193333333333333,0.030288948611110977,-0.0030875584720806296
2022-09-04 12:18:50+00:00,18.9338125,,,,,92.21894649989895,0.0,2.0,5.259392361111111,0.02364807083333324,-0.0024106086476384544
2022-09-04 12:18:52+00:00,19.09269672,,,,,87.40576535852912,0.0,4.0,5.303526866666666,0.01581821296296293,-0.0016124579982632955
2022-09-04 12:18:54+00:00,19.08308744,,,,,101.81616674155153,0.0,6.0,5.300857622222222,0.03372311550925929,-0.0034376264535432507
2022-09-04 12:18:56+00:00,19.23007186,,,,,126.54673892053589,0.0,8.0,5.3416866277777775,0.06219483518518524,-0.006339942424585651
2022-09-04 12:18:58+00:00,20.25327595,,,,,143.0299567554166,0.0,10.0,5.625909986111111,0.0672896168981482,-0.006859288164948849
2022-09-04 12:19:00+00:00,20.60932509,,,,,132.94068299401624,0.0,12.0,5.724812525,0.05062884652777777,-0.005160942561445237
2022-09-04 12:19:02+00:00,20.61074566,,,,,117.05474477716244,0.0,14.0,5.725207127777778,0.03244740509259255,-0.003307584616981911
2022-09-04 12:19:04+00:00,21.05976832,,,,,116.98452646462744,0.0,16.0,5.849935644444444,0.02662144305555551,-0.0027137046947559133
2022-09-04 12:19:06+00:00,21.20456062,,,,,105.59526697766798,0.0,18.0,5.890155727777778,0.01212478495370369,-0.001235961768981008
2022-09-04 12:19:08+00:00,21.16555647,,,,,85.97511615596932,0.0,20.0,5.879321241666666,-0.009246496296296295,0.0009425582361158301
2022-09-04 12:19:10+00:00,21.02874822,,,,,73.77156741790586,0.0,22.0,5.84131895,-0.021405554166666674,0.002182013676520558
2022-09-04 12:19:12+00:00,20.83613208,,,,,69.33058552923738,0.0,24.0,5.787814466666666,-0.024416446296296284,0.0024889343829048198
2022-09-04 12:19:14+00:00,20.60926507,,,,,76.12621061978118,0.0,26.0,5.724795852777778,-0.014329246527777709,0.0014606775257673505
2022-09-04 12:19:16+00:00,20.53024914,,,,,91.76724521367916,0.0,28.0,5.702846983333333,0.004460563425925971,-0.0004546955581983661
2022-09-04 12:19:18+00:00,20.71560771,,,,,108.60036741316247,0.0,30.0,5.754335475,0.021483000231481492,-0.002189908280477216
2022-09-04 12:19:20+00:00,20.92248578,,,,,118.07371136116508,0.0,32.0,5.811801605555555,0.029598414583333305,-0.003017167643560989
