date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,t_s,v_ms,P_batt_W,P_mech_total_W
2022-09-04 12:20:34+00:00,12.90346341,,,,,106.0,3.5842953916666667,32.83465528538103,0.0
2022-09-04 12:20:36+00:00,12.92048,,,,,108.0,3.589022222222222,80.52969605685784,0.0
2022-09-04 12:20:38+00:00,14.2156662,,,,,110.0,3.9487961666666664,116.23877773501977,0.0
2022-09-04 12:20:40+00:00,15.65170358,,,,,112.0,4.347695438888889,110.04200915888804,0.0
2022-09-04 12:20:42+00:00,15.60445628,,,,,114.0,4.334571188888889,74.82780992135851,0.0
2022-09-04 12:20:44+00:00,15.51061133,,,,,116.0,4.308503147222222,67.79646500249193,0.0
2022-09-04 12:20:46+00:00,16.07003588,,,,,118.0,4.463898855555555,86.34222188228111,0.0
2022-09-04 12:20:48+00:00,16.4869847,,,,,120.0,4.579717972222222,75.9469260555444,0.0
2022-09-04 12:20:50+00:00,16.83077657,,,,,122.0,4.675215713888889,36.361369330549216,0.0
2022-09-04 12:20:52+00:00,16.08171227,,,,,124.0,4.467142297222222,0.13590446128599976,0.0
2022-09-04 12:20:54+00:00,15.24064105,,,,,126.0,4.233511402777778,-0.0,2.4267433142622883
2022-09-04 12:20:56+00:00,14.81659932,,,,,128.0,4.115722033333333,28.76865189120349,0.0
2022-09-04 12:20:58+00:00,14.82269805,,,,,130.0,4.117416125,64.80731161253941,0.0
2022-09-04 12:21:00+00:00,15.46822409,,,,,132.0,4.296728913888889,93.13851115211342,0.0
2022-09-04 12:21:02+00:00,16.03051975,,,,,134.0,4.452922152777778,112.92066074845569,0.0
2022-09-04 12:21:04+00:00,16.59834087,,,,,136.0,4.610650241666667,122.74072234559145,0.0
2022-09-04 12:21:06+00:00,17.60498215,,,,,138.0,4.890272819444445,126.49160975091766,0.0
2022-09-04 12:21:08+00:00,18.03931379,,,,,140.0,5.010920497222222,114.48673630772113,0.0
2022-09-04 12:21:10+00:00,18.29150645,,,,,142.0,5.080974013888889,111.01115358182804,0.0
2022-09-04 12:21:12+00:00,18.65680554,,,,,144.0,5.182445983333333,128.47321648333076,0.0
2022-09-04 12:21:14+00:00,19.38876423,,,,,146.0,5.3857678416666666,146.97179856063892,0.0
2022-09-04 12:21:16+00:00,20.08494233,,,,,148.0,5.579150647222222,146.62146738838345,0.0
2022-09-04 12:21:18+00:00,20.52676565,,,,,150.0,5.7018793472222224,120.87613196463862,0.0
2022-09-04 12:21:20+00:00,20.71336278,,,,,152.0,5.753711883333334,64.22737840040779,0.0
2022-09-04 12:21:22+00:00,20.39831561,,,,,154.0,5.666198780555556,-0.0,9.053915987624574
2022-09-04 12:21:24+00:00,18.9619668,,,,,156.0,5.267213,-42.4729444376839,0.0
2022-09-04 12:21:26+00:00,17.45482812,,,,,158.0,4.848563366666666,-0.0,1.9433100120478877
2022-09-04 12:21:28+00:00,16.89835366,,,,,160.0,4.6939871277777785,89.90354703444699,0.0
2022-09-04 12:21:30+00:00,18.75918609,,,,,162.0,5.210885025,149.1389240343614,0.0
2022-09-04 12:21:32+00:00,19.62427325,,,,,164.0,5.451187013888889,75.11676819457733,0.0
2022-09-04 12:21:34+00:00,18.92934718,,,,,166.0,5.258151994444445,-82.89202551408559,0.0
2022-09-04 12:21:36+00:00,16.51033408,,,,,168.0,4.586203911111111,-181.22548907134924,0.0
2022-09-04 12:21:38+00:00,12.43459689,,,,,170.0,3.4540546916666663,-160.4670150667946,0.0
2022-09-04 12:21:40+00:00,8.962105122,,,,,172.0,2.489473645,-84.33578721585098,0.0
2022-09-04 12:21:42+00:00,7.68545882,,,,,174.0,2.1348496722222223,-28.33160056665923,0.0
2022-09-04 12:21:44+00:00,7.355594086,,,,,176.0,2.0432205794444442,3.9472253927733925,0.0
2022-09-04 12:21:46+00:00,7.4725888,,,,,178.0,2.075719111111111,18.535364904586725,0.0
2022-09-04 12:21:48+00:00,7.818656169,,,,,180.0,2.1718489358333333,19.350212092698747,0.0
2022-09-04 12:21:50+00:00,7.833194348,,,,,182.0,2.175887318888889,3.4306604021533578,0.0
2022-09-04 12:21:52+00:00,7.564756687,,,,,184.0,2.1013213019444446,-0.0,9.75422704865412
2022-09-04 12:21:54+00:00,6.221262706,,,,,186.0,1.7281285294444444,-0.0,3.1007131444367158
2022-09-04 12:21:56+00:00,6.048739228,,,,,188.0,1.6802053411111109,37.75411158687637,0.0
2022-09-04 12:21:58+00:00,6.985812069,,,,,190.0,1.9405033525,118.34849245848034,0.0
2022-09-04 12:22:00+00:00,11.36835785,,,,,192.0,3.1578771805555554,279.9163314779002,0.0
2022-09-04 12:22:02+00:00,16.2798442,,,,,194.0,4.522178944444444,400.98112109712224,0.0
2022-09-04 12:22:04+00:00,19.41444664,,,,,196.0,5.392901844444444,342.93952132333925,0.0
2022-09-04 12:22:06+00:00,20.70037821,,,,,198.0,5.750105058333333,218.517191569005,0.0
2022-09-04 12:22:08+00:00,20.86944237,,,,,200.0,5.797067325,143.41214213452534,0.0
2022-09-04 12:22:10+00:00,21.16625702,,,,,202.0,5.879515838888889,130.3396067677668,0.0
2022-09-04 12:22:12+00:00,21.49256564,,,,,204.0,5.970157122222222,137.5162287201107,0.0
2022-09-04 12:22:14+00:00,21.81109335,,,,,206.0,6.058637041666667,140.54640253375618,0.0
2022-09-04 12:22:16+00:00,22.11016948,,,,,208.0,6.141713744444444,142.0532427945679,0.0
2022-09-04 12:22:18+00:00,22.38835552,,,,,210.0,6.218987644444445,143.15194742590904,0.0
2022-09-04 12:22:20+00:00,22.64788203,,,,,212.0,6.291078341666667,144.2902065643158,0.0
2022-09-04 12:22:22+00:00,22.89193767,,,,,214.0,6.358871575,148.3946174912142,0.0
2022-09-04 12:22:24+00:00,23.12362188,,,,,216.0,6.4232283,171.2885611833066,0.0
2022-09-04 12:22:26+00:00,23.4687581,,,,,218.0,6.519099472222222,209.88923872252587,0.0
2022-09-04 12:22:28+00:00,24.49769149,,,,,220.0,6.804914302777778,236.717717891765,0.0
2022-09-04 12:22:30+00:00,25.40044858,,,,,222.0,7.055680161111111,213.86296021720355,0.0
2022-09-04 12:22:32+00:00,25.47716168,,,,,224.0,7.076989355555555,147.19214536845388,0.0
2022-09-04 12:22:34+00:00,25.20801001,,,,,226.0,7.002225002777777,75.43713182621092,0.0
2022-09-04 12:22:36+00:00,24.69310988,,,,,228.0,6.859197188888889,7.908075421316168,0.0
2022-09-04 12:22:38+00:00,23.44381879,,,,,230.0,6.512171886111111,-0.0,28.70096783054207
2022-09-04 12:22:40+00:00,21.95205722,,,,,232.0,6.097793672222222,-0.0,16.22652557643572
2022-09-04 12:22:42+00:00,21.35090174,,,,,234.0,5.930806038888889,34.30796102793066,0.0
2022-09-04 12:22:44+00:00,21.18899183,,,,,236.0,5.885831063888888,82.06877577416596,0.0
2022-09-04 12:22:46+00:00,21.25554612,,,,,238.0,5.904318366666667,108.32228238915275,0.0
2022-09-04 12:22:48+00:00,21.44909245,,,,,240.0,5.95808123611111,124.86309604898794,0.0
2022-09-04 12:22:50+00:00,21.71856666,,,,,242.0,6.032935183333334,136.82133981146555,0.0
2022-09-04 12:22:52+00:00,22.03670632,,,,,244.0,6.121307311111111,146.52818574094493,0.0
2022-09-04 12:22:54+00:00,22.38789799,,,,,246.0,6.218860552777778,155.08738792737134,0.0
2022-09-04 12:22:56+00:00,22.7625251,,,,,248.0,6.322923638888889,163.04693635270365,0.0
2022-09-04 12:22:58+00:00,23.15426387,,,,,250.0,6.431739963888889,170.6954344189223,0.0
2022-09-04 12:23:00+00:00,23.55873437,,,,,252.0,6.544092880555556,178.19603848421235,0.0
2022-09-04 12:23:02+00:00,23.97278844,,,,,254.0,6.6591078999999995,185.6483912200043,0.0
2022-09-04 12:23:04+00:00,24.39410695,,,,,256.0,6.776140819444445,193.11804935556563,0.0
2022-09-04 12:23:06+00:00,24.82095488,,,,,258.0,6.894709688888888,183.10953680409935,0.0
2022-09-04 12:23:08+00:00,25.25202185,,,,,260.0,7.014450513888888,155.77516020244184,0.0
2022-09-04 12:23:10+00:00,24.96690847,,,,,262.0,6.935252352777778,118.53558143675606,0.0
2022-09-04 12:23:12+00:00,24.72587659,,,,,264.0,6.868299052777777,86.95517108262707,0.0
2022-09-04 12:23:14+00:00,24.47387487,,,,,266.0,6.798298575,86.54825422482826,0.0
2022-09-04 12:23:16+00:00,23.69882808,,,,,268.0,6.583007799999999,104.09899186370485,0.0
2022-09-04 12:23:18+00:00,24.05050989,,,,,270.0,6.680697191666667,152.05249711009722,0.0
2022-09-04 12:23:20+00:00,24.326863,,,,,272.0,6.757461944444444,182.0015633634049,0.0
2022-09-04 12:23:22+00:00,24.87552704,,,,,274.0,6.9098686222222225,150.72850204430182,0.0
2022-09-04 12:23:24+00:00,24.99426597,,,,,276.0,6.942851658333334,58.64763750231489,0.0
2022-09-04 12:23:26+00:00,23.87545847,,,,,278.0,6.632071797222222,-0.0,5.32621532375987
2022-09-04 12:23:28+00:00,22.00020907,,,,,280.0,6.111169186111111,18.798626604873856,0.0
2022-09-04 12:23:30+00:00,22.26731573,,,,,282.0,6.185365480555555,119.2764867874404,0.0
2022-09-04 12:23:32+00:00,22.69709738,,,,,284.0,6.304749272222222,193.1442358987355,0.0
2022-09-04 12:23:34+00:00,23.77715796,,,,,286.0,6.6047661,180.4940016913292,0.0
2022-09-04 12:23:36+00:00,24.16949655,,,,,288.0,6.7137490416666665,96.62699137740466,0.0
2022-09-04 12:23:38+00:00,23.20358704,,,,,290.0,6.445440844444444,-0.0,3.8104248999454753
2022-09-04 12:23:40+00:00,21.89597369,,,,,292.0,6.0822149138888895,-39.99796614115805,0.0
2022-09-04 12:23:42+00:00,20.72634653,,,,,294.0,5.757318480555556,-40.82404144666852,0.0
2022-09-04 12:23:44+00:00,19.60648904,,,,,296.0,5.446246955555555,-0.0,9.734589381507291
2022-09-04 12:23:46+00:00,18.60628809,,,,,298.0,5.168413358333333,46.45499039077602,0.0
2022-09-04 12:23:48+00:00,19.34481639,,,,,300.0,5.373560108333333,94.96248737824148,0.0
2022-09-04 12:23:50+00:00,19.67530249,,,,,302.0,5.465361802777777,91.39368484824807,0.0
2022-09-04 12:23:52+00:00,19.49297807,,,,,304.0,5.414716130555555,50.04476224842927,0.0
2022-09-04 12:23:54+00:00,19.05888773,,,,,306.0,5.294135480555555,21.589312308772193,0.0
