date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,SoC,Motor_Eff
2022-09-04 12:18:48+00:00,18.696,,,,,112.37978791857397,0.0,0.5998751335689794,0.8028072812469431
2022-09-04 12:18:50+00:00,18.9338125,,,,,108.86546083237816,0.0,0.5997541719458322,0.802507214581713
2022-09-04 12:18:52+00:00,19.09269672,,,,,103.46525191799498,0.0,0.5996392105548123,0.8003214642944756
2022-09-04 12:18:54+00:00,19.08308744,,,,,119.65422592697975,0.0,0.5995062614148934,0.8061346799605664
2022-09-04 12:18:56+00:00,19.23007186,,,,,147.17853006789926,0.0,0.599342729714818,0.8145643538170912
2022-09-04 12:18:58+00:00,20.25327595,,,,,164.91381251208514,0.0,0.5991594921453601,0.8216538216571484
2022-09-04 12:19:00+00:00,20.60932509,,,,,153.6726128752025,0.0,0.598988744797721,0.8195592082759637
2022-09-04 12:19:02+00:00,20.61074566,,,,,136.044742472769,0.0,0.5988375839727512,0.8151286607672908
2022-09-04 12:19:04+00:00,21.05976832,,,,,135.74456906213072,0.0,0.5986867566737933,0.816441106190096
2022-09-04 12:19:06+00:00,21.20456062,,,,,122.91076877850963,0.0,0.5985501891529283,0.8139044474413502
2022-09-04 12:19:08+00:00,21.16555647,,,,,101.67119363499165,0.0,0.5984372211600005,0.801112951765966
2022-09-04 12:19:10+00:00,21.02874822,,,,,88.40232933048507,0.0,0.5983389963496333,0.7905770568782788
2022-09-04 12:19:12+00:00,20.83613208,,,,,83.51906843205983,0.0,0.5982461973847087,0.7864264841138404
2022-09-04 12:19:14+00:00,20.60926507,,,,,91.07551914895909,0.0,0.5981450023634322,0.7918655707866633
2022-09-04 12:19:16+00:00,20.53024914,,,,,107.95348817156913,0.0,0.5980250540432416,0.805322659553755
2022-09-04 12:19:18+00:00,20.71560771,,,,,126.53364327093914,0.0,0.5978844611062739,0.8131004209026265
2022-09-04 12:19:20+00:00,20.92248578,,,,,137.02863278746977,0.0,0.5977322070698434,0.8163206712683471
2022-09-04 12:19:22+00:00,21.14509404,,,,,141.73568137245243,0.0,0.5975747229794296,0.818127982868028
